order_detail_id,order_id,Order_ID_Status,product_id,Product_ID_Status,quantity,Quantity_Status,discount,Discount_Status
OD000001,O00001,Valid,P006,Valid,1,Valid,0.05,Valid
OD000002,O00001,Valid,P077,Valid,1,Valid,0.05,Valid
OD000003,O00001,Valid,P009,Valid,2,Valid,0.25,Valid
OD000004,O00002,Valid,P031,Valid,3,Valid,0.2,Valid
OD000005,O00003,Valid,P008,Valid,1,Valid,0,Valid
OD000006,O00003,Valid,P122,Valid,1,Valid,0.2,Valid
OD000007,O00003,Valid,P045,Valid,1,Valid,0.1,Valid
OD000008,O00004,Valid,P149,Valid,3,Valid,0.15,Valid
OD000009,O00004,Valid,P143,Valid,2,Valid,0,Valid
OD000010,O00004,Valid,P070,Valid,3,Valid,0.2,Valid
OD000011,O00004,Valid,P006,Valid,1,Valid,0,Valid
OD000012,O00005,Valid,P102,Valid,3,Valid,0.1,Valid
OD000013,O00006,Valid,P010,Valid,2,Valid,0.1,Valid
OD000014,O00007,Valid,P120,Valid,2,Valid,0,Valid
OD000015,O00007,Valid,P106,Valid,3,Valid,0,Valid
OD000016,O00007,Valid,P045,Valid,4,Valid,0.05,Valid
OD000017,O00007,Valid,P004,Valid,3,Valid,0.05,Valid
OD000018,O00008,Valid,P123,Valid,1,Valid,0.2,Valid
OD000019,O00008,Valid,P052,Valid,1,Valid,0.25,Valid
OD000020,O00008,Valid,P069,Valid,1,Valid,0,Valid
OD000021,O00009,Valid,P115,Valid,4,Valid,0.15,Valid
OD000022,O00009,Valid,P001,Valid,4,Valid,0.25,Valid
OD000023,O00009,Valid,P012,Valid,2,Valid,0.15,Valid
OD000024,O00010,Valid,P126,Valid,1,Valid,0.05,Valid
OD000025,O00010,Valid,P060,Valid,1,Valid,0.15,Valid
OD000026,O00010,Valid,P013,Valid,1,Valid,0.1,Valid
OD000027,O00011,Valid,P121,Valid,3,Valid,0.05,Valid
OD000028,O00011,Valid,P140,Valid,3,Valid,0.15,Valid
OD000029,O00011,Valid,P042,Valid,2,Valid,0,Valid
OD000030,O00011,Valid,P096,Valid,1,Valid,0.2,Valid
OD000031,O00012,Valid,P089,Valid,2,Valid,0.1,Valid
OD000032,O00012,Valid,P105,Valid,1,Valid,0.1,Valid
OD000033,O00012,Valid,P045,Valid,1,Valid,0.25,Valid
OD000034,O00013,Valid,P038,Valid,4,Valid,0.2,Valid
OD000035,O00014,Valid,P127,Valid,2,Valid,0,Valid
OD000036,O00014,Valid,P139,Valid,2,Valid,0.05,Valid
OD000037,O00014,Valid,P105,Valid,1,Valid,0.05,Valid
OD000038,O00014,Valid,P093,Valid,1,Valid,0.2,Valid
OD000039,O00015,Valid,P116,Valid,4,Valid,0.2,Valid
OD000040,O00015,Valid,P139,Valid,1,Valid,0,Valid
OD000041,O00016,Valid,P130,Valid,4,Valid,0.2,Valid
OD000042,O00017,Valid,P088,Valid,2,Valid,0.2,Valid
OD000043,O00018,Valid,P041,Valid,4,Valid,0.2,Valid
OD000044,O00018,Valid,P147,Valid,2,Valid,0,Valid
OD000045,O00018,Valid,P036,Valid,4,Valid,0.1,Valid
OD000046,O00018,Valid,P053,Valid,1,Valid,0.15,Valid
OD000047,O00019,Valid,P011,Valid,1,Valid,0.15,Valid
OD000048,O00019,Valid,P134,Valid,1,Valid,0.05,Valid
OD000049,O00020,Valid,P043,Valid,3,Valid,0.2,Valid
OD000050,O00020,Valid,P059,Valid,4,Valid,0.05,Valid
OD000051,O00021,Valid,P030,Valid,3,Valid,0.25,Valid
