order_id,customer_id,order_date,payment_method,order_status,Customer_ID_Status
O00001,C0438,24-01-2026,UPI,Cancelled,Valid
O00002,C0753,11-01-2026,Debit Card,Delivered,Valid
O00003,C0627,16-07-2026,Net Banking,Cancelled,Valid
O00004,C0550,26-03-2026,UPI,Delivered,Valid
O00005,C0112,17-02-2026,COD,Delivered,Valid
O00006,C0252,23-03-2026,Net Banking,Delivered,Valid
O00007,C0753,21-07-2025,Net Banking,Delivered,Valid
O00008,C0529,27-07-2026,UPI,Delivered,Valid
O00009,C0299,11-02-2026,COD,Delivered,Valid
O00010,C0793,24-11-2025,COD,Delivered,Valid
O00011,C0433,28-11-2025,Net Banking,Delivered,Valid
O00012,C0707,22-03-2026,Credit Card,Delivered,Valid
O00013,C0662,17-02-2026,UPI,Processing,Valid
O00014,C0513,27-08-2025,Credit Card,Processing,Valid
O00015,C0600,22-06-2026,Net Banking,Delivered,Valid
O00016,C0403,28-01-2026,Debit Card,Delivered,Valid
O00017,C0026,30-09-2025,COD,Cancelled,Valid
O00018,C0730,12-10-2025,COD,Delivered,Valid
O00019,C0257,13-12-2025,Credit Card,Processing,Valid
O00020,C0751,02-09-2025,UPI,Delivered,Valid
O00021,C0724,16-02-2026,Debit Card,Delivered,Valid
O00022,C0537,28-06-2026,COD,Processing,Valid
O00023,C0524,10-05-2026,Credit Card,Delivered,Valid
O00024,C0564,11-01-2026,UPI,Processing,Valid
O00025,C0175,19-12-2025,Net Banking,Returned,Valid
O00026,C0154,22-09-2025,Credit Card,Delivered,Valid
O00027,C0788,30-06-2026,UPI,Delivered,Valid
O00028,C0316,06-12-2025,COD,Delivered,Valid
O00029,C0642,01-10-2025,UPI,Delivered,Valid
O00030,C0208,02-07-2025,Net Banking,Processing,Valid
O00031,C0260,07-07-2025,COD,Delivered,Valid
O00032,C0511,05-04-2026,UPI,Cancelled,Valid
O00033,C0506,30-10-2025,Credit Card,Cancelled,Valid
O00034,C0676,01-03-2026,COD,Delivered,Valid
O00035,C0453,10-08-2025,Net Banking,Cancelled,Valid
O00036,C0007,03-11-2025,Net Banking,Delivered,Valid
O00037,C0635,18-05-2026,Net Banking,Delivered,Valid
O00038,C0051,03-10-2025,Credit Card,Delivered,Valid
O00039,C0669,26-12-2025,UPI,Delivered,Valid
O00040,C0034,07-06-2026,Net Banking,Cancelled,Valid
O00041,C0306,17-12-2025,UPI,Delivered,Valid
O00042,C0112,30-01-2026,Credit Card,Delivered,Valid
O00043,C0689,23-11-2025,Net Banking,Returned,Valid
O00044,C0709,24-06-2026,Net Banking,Cancelled,Valid
O00045,C0576,29-09-2025,COD,Processing,Valid
O00046,C0593,01-01-2026,UPI,Delivered,Valid
O00047,C0787,01-12-2025,Debit Card,Delivered,Valid
O00048,C0389,04-08-2025,COD,Delivered,Valid
O00049,C0067,27-11-2025,COD,Delivered,Valid
O00050,C0125,21-06-2026,Debit Card,Delivered,Valid
O00051,C0540,28-01-2026,Net Banking,,Valid
O00052,C0713,16-10-2025,Net Banking,Delivered,Valid
O00053,C0112,19-04-2026,Net Banking,Delivered,Valid
O00054,C0496,06-07-2026,Net Banking,Processing,Valid
O00055,C0295,04-02-2026,Net Banking,Delivered,Valid
O00056,C0266,27-03-2026,Net Banking,Cancelled,Valid
O00057,C0363,05-09-2025,Net Banking,Cancelled,Valid
O00058,C0509,24-03-2026,COD,Delivered,Valid
O00059,C0185,09-05-2026,Credit Card,Processing,Valid
O00060,C0298,08-10-2025,UPI,Delivered,Valid
O00061,C0025,24-02-2026,UPI,Processing,Valid
O00062,C0213,12-05-2026,COD,Delivered,Valid
O00063,C0047,18-12-2025,Debit Card,Delivered,Valid
O00064,C0653,17-10-2025,UPI,Cancelled,Valid
O00065,C0207,19-06-2026,Debit Card,Delivered,Valid
O00066,C0070,05-12-2025,Debit Card,Delivered,Valid
O00067,C0564,13-12-2025,UPI,Delivered,Valid
O00068,C0703,18-12-2025,Debit Card,Delivered,Valid
O00069,C0742,18-04-2026,Net Banking,Delivered,Valid
O00070,C0180,08-10-2025,Debit Card,Delivered,Valid
O00071,C0689,03-03-2026,COD,Delivered,Valid
O00072,C0662,08-09-2025,COD,Delivered,Valid
O00073,C0643,21-02-2026,Net Banking,Delivered,Valid
O00074,C0474,28-01-2026,UPI,Delivered,Valid
O00075,C0307,16-04-2026,Debit Card,Delivered,Valid
O00076,C0549,10-07-2025,Credit Card,Cancelled,Valid
O00077,C0702,17-12-2025,Debit Card,Delivered,Valid
O00078,C0153,21-11-2025,UPI,Delivered,Valid
O00079,C0385,17-05-2026,Net Banking,Delivered,Valid
O00080,C0585,07-05-2026,COD,Delivered,Valid
O00081,C0610,29-08-2025,Debit Card,Processing,Valid
O00082,C0323,29-06-2026,UPI,Delivered,Valid
O00083,C0424,14-08-2025,COD,Delivered,Valid
O00084,C0381,17-02-2026,Debit Card,Delivered,Valid
O00085,C0538,02-12-2025,Credit Card,Delivered,Valid
O00086,C0384,20-07-2025,Credit Card,Delivered,Valid
O00087,C0455,17-03-2026,UPI,Delivered,Valid
O00088,C0513,17-09-2025,Credit Card,Delivered,Valid
O00089,C0496,11-07-2026,Net Banking,Delivered,Valid
O00090,C0795,15-12-2025,Credit Card,Processing,Valid
O00091,C0101,22-03-2026,Credit Card,Delivered,Valid
O00092,C0742,19-07-2025,COD,Delivered,Valid
O00093,C0731,25-03-2026,UPI,Delivered,Valid
O00094,C0319,23-07-2025,Net Banking,Delivered,Valid
O00095,C0342,25-02-2026,UPI,Delivered,Valid
O00096,C0534,28-07-2026,Debit Card,Delivered,Valid
